timestamp,event,side,price,amount_btc,amount_usdt,portfolio_usdt,portfolio_btc,portfolio_value
2026-04-26T20:47:03.204508,TAKE_PROFIT,SELL,78339.97,0.00937327,734.30,15409.46,0.93090000,88336.14
2026-04-26T20:47:05.383970,TAKE_PROFIT,SELL,78339.97,0.00937232,734.23,16143.33,0.92153000,88335.96
2026-04-26T21:01:21.444716,TAKE_PROFIT,SELL,78232.51,0.01262722,987.86,20734.38,0.86284000,88236.52
2026-04-26T21:01:23.585144,TAKE_PROFIT,SELL,78232.51,0.01262722,987.86,21721.62,0.85022000,88236.46
2026-04-26T21:06:25.175400,TAKE_PROFIT,SELL,78276.51,0.01527029,1195.31,23893.99,0.82246000,88273.29
2026-04-26T21:06:26.987105,TAKE_PROFIT,SELL,78276.51,0.01450689,1135.55,25028.89,0.80796000,88273.18
2026-04-26T21:46:49.388285,REVERSAL_CLOSE,SELL,77922.14,0.00128390,100.04,27730.06,0.77216000,87898.42
2026-04-26T21:47:14.904737,REVERSAL_CLOSE,SELL,77921.73,0.00128362,100.02,27929.48,0.77088000,87997.78
2026-04-26T21:47:28.774021,REVERSAL_CLOSE,SELL,77924.48,0.00128340,100.01,27929.49,0.76960000,87900.17
2026-04-26T21:48:52.946841,REVERSAL_CLOSE,SELL,77984.56,0.00128338,100.08,27929.55,0.77088000,88046.28
2026-04-26T21:49:06.846252,REVERSAL_CLOSE,SELL,77981.38,0.00128235,100.00,27929.56,0.76960000,87944.03
2026-04-26T21:50:34.974624,REVERSAL_CLOSE,SELL,77984.40,0.00128297,100.05,28029.39,0.76960000,88046.18
2026-04-26T21:55:47.419013,STOP_LOSS,SELL,78490.29,0.00128286,100.69,28130.16,0.76832000,88435.82
2026-04-26T21:56:43.306222,REVERSAL_CLOSE,SELL,78680.01,0.00127488,100.31,28230.05,0.76705000,88581.55
2026-04-26T21:57:01.501083,REVERSAL_CLOSE,SELL,78539.11,0.00127263,99.95,28230.05,0.76705000,88473.47
2026-04-26T21:57:30.660235,REVERSAL_CLOSE,SELL,78531.41,0.00127244,99.93,28230.11,0.76705000,88467.63
2026-04-26T21:58:19.975443,REVERSAL_CLOSE,SELL,78452.80,0.00127568,100.08,28329.72,0.76578000,88407.31
2026-04-26T21:58:34.093376,REVERSAL_CLOSE,SELL,78430.18,0.00127517,100.01,28329.74,0.76451000,88290.40
2026-04-26T21:59:22.156722,REVERSAL_CLOSE,SELL,78407.87,0.00127622,100.07,28429.40,0.76324000,88273.43
2026-04-26T21:59:46.651053,REVERSAL_CLOSE,SELL,78406.91,0.00127573,100.03,28628.48,0.76197000,88372.19
2026-04-26T22:00:05.511740,REVERSAL_CLOSE,SELL,78362.49,0.00127553,99.95,28728.05,0.76070000,88338.40
2026-04-26T22:02:07.323665,REVERSAL_CLOSE,SELL,78550.60,0.00127419,100.09,28827.92,0.75943000,88481.60
2026-04-26T22:02:22.179566,REVERSAL_CLOSE,SELL,78564.86,0.00127334,100.04,28827.93,0.75816000,88392.66
2026-04-26T22:02:36.526692,REVERSAL_CLOSE,SELL,78537.79,0.00127297,99.98,28927.69,0.75816000,88471.90
2026-04-26T22:03:26.806459,REVERSAL_CLOSE,SELL,78450.95,0.00127454,99.99,28927.70,0.75689000,88306.44
2026-04-26T22:03:46.572037,REVERSAL_CLOSE,SELL,78399.07,0.00127569,100.01,29027.37,0.75562000,88267.27
2026-04-26T22:04:11.403145,REVERSAL_CLOSE,SELL,78372.85,0.00127558,99.97,29126.91,0.75562000,88347.01
2026-04-26T22:04:24.815971,REVERSAL_CLOSE,SELL,78379.46,0.00127602,100.01,29126.91,0.75435000,88252.46
2026-04-26T22:05:37.850963,REVERSAL_CLOSE,SELL,78441.08,0.00127633,100.12,29226.53,0.75435000,88398.56
2026-04-26T22:06:19.973736,REVERSAL_CLOSE,SELL,78500.80,0.00127453,100.05,29326.23,0.75308000,88443.62
2026-04-26T22:07:22.199542,REVERSAL_CLOSE,SELL,78459.29,0.00127476,100.02,29425.92,0.75181000,88412.40
2026-04-26T22:07:58.044038,REVERSAL_CLOSE,SELL,78499.89,0.00127414,100.02,29426.00,0.75181000,88443.00
2026-04-26T22:08:23.552450,REVERSAL_CLOSE,SELL,78524.20,0.00127412,100.05,29525.68,0.75054000,88461.24
2026-04-26T22:08:41.884388,REVERSAL_CLOSE,SELL,78539.88,0.00127324,100.00,29525.68,0.75054000,88473.00
2026-04-26T22:09:00.604503,REVERSAL_CLOSE,SELL,78554.54,0.00127313,100.01,29525.69,0.74927000,88384.25
2026-04-26T22:09:21.256405,REVERSAL_CLOSE,SELL,78584.00,0.00127313,100.05,29725.23,0.74800000,88506.06
2026-04-26T22:10:05.874759,REVERSAL_CLOSE,SELL,78536.24,0.00127331,100.00,29725.23,0.74800000,88470.34
2026-04-26T22:10:19.953446,REVERSAL_CLOSE,SELL,78535.57,0.00127344,100.01,29725.24,0.74673000,88370.10
2026-04-26T22:11:04.227632,REVERSAL_CLOSE,SELL,78501.88,0.00127433,100.04,29824.91,0.74673000,88444.62
2026-04-26T22:11:45.080599,REVERSAL_CLOSE,SELL,78511.39,0.00127401,100.02,29924.62,0.74546000,88451.72
2026-04-26T22:12:17.229216,REVERSAL_CLOSE,SELL,78511.39,0.00127401,100.02,30024.33,0.74419000,88451.72
2026-04-26T22:12:53.341203,REVERSAL_CLOSE,SELL,78534.23,0.00127383,100.04,30124.07,0.74292000,88468.72
2026-04-26T22:13:34.673004,REVERSAL_CLOSE,SELL,78533.37,0.00127346,100.01,30223.80,0.74165000,88468.08
2026-04-26T22:13:49.385608,REVERSAL_CLOSE,SELL,78540.21,0.00127316,99.99,30223.80,0.74038000,88373.40
2026-04-26T22:14:09.645132,REVERSAL_CLOSE,SELL,78550.01,0.00127336,100.02,30423.30,0.73911000,88480.40
2026-04-26T22:14:22.740484,REVERSAL_CLOSE,SELL,78551.49,0.00127305,100.00,30423.30,0.73784000,88381.73
2026-04-26T22:14:37.465888,REVERSAL_CLOSE,SELL,78568.00,0.00127278,100.00,30523.07,0.73657000,88393.90
2026-04-26T22:16:05.338912,REVERSAL_CLOSE,SELL,78742.50,0.00127314,100.25,30722.81,0.73530000,88622.17
2026-04-26T22:16:25.375900,REVERSAL_CLOSE,SELL,78703.49,0.00127040,99.98,30822.79,0.73403000,88593.51
